Token;Label
à;
chaque;
pas;
du;
côté;
de;
sa;
chère;
fabrique;
.;
À;
mesure;
que;
la;
caravane;
s';
éloignait;
;
l';
arbre;
aux;
grenades;
se;
haussait;
tant;
qu';
il;
pouvait;
par;
-;
dessus;
les;
murs;
du;
jardin;
pour;
la;
voir;
encore;
une;
fois;
...;
Les;
platanes;
agitaient;
leurs;
branches;
en;
signe;
d';
adieu;
...;
Daniel;B-PER
Eyssette;I-PER
;
très;
ému;
;
leur;
envoyait;
des;
baisers;
à;
tous;
;
furtivement;
et;
du;
bout;
des;
doigts;
.;
Je;
quittai;
mon;
île;
le;
30;
septembre;
18;
...;
II;
--;
LES;
BABAROTRES;
O;
CHOSES;
de;
mon;
enfance;
;
quelle;
impression;
VOUS;
m';
avez;
laissée;
!;
Il;
me;
semble;
que;
c';
est;
hier;
;
ce;
voyage;
sur;
le;B-LOC
Rhône;I-LOC
.;
Je;
vois;
encore;
le;
bateau;
;
ses;
passagers;
;
son;
équipage;
;
j';
entends;
le;
bruit;
des;
roues;
et;
le;
sifflet;
de;
la;
machine;
.;
Le;
capitaine;
s';
appelait;
Géniès;B-PER
;
le;B-PER
maître;I-PER
coq;I-PER
Montélimart;I-PER
.;
On;
n';
oublie;
pas;
ces;
choses;
-là;
.;
La;
traversée;
dura;
trois;
jours;
.;
Je;
passai;
ces;
trois;
jours;
sur;
le;
pont;
;
descendant;
au;
salon;
juste;
pour;
manger;
et;
dormir;
.;
Le;
reste;
du;
temps;
;
j';
allais;
me;
mettre;
à;
la;
pointe;
extrême;
du;
navire;
;
près;
de;
l';
ancre;
.;
Il;
y;
avait;
là;
une;
grosse;
cloche;
qu';
on;
sonnait;
en;
entrant;
dans;
les;
villes;
:;
je;
m';
asseyais;
à;
côté;
de;
cette;
cloche;
;
parmi;
des;
tas;
de;
cordes;
;
je;
posais;
la;
cage;
du;
perroquet;
entre;
mes;
jambes;
et;
je;
regardais;
.;
Le;B-LOC
Rhône;I-LOC
était;
si;
large;
qu';
on;
voyait;
à;
peine;
ses;
rives;
.;
Moi;
;
je;
l';
aurais;
voulu;
encore;
plus;
large;
;
et;
qu';
il;
se;
fût;
appelé;
:;
la;
mer;
!;
Le;
ciel;
riait;
;
l';
onde;
était;
verte;
.;
Des;
grandes;
barques;
descendaient;
au;
fil;
de;
l';
eau;
.;
Des;
mariniers;
;
guéant;
le;
fleuve;
à;
dos;
de;
mules;
;
passaient;
près;
de;
nous;
en;
chantant;
.;
Parfois;
;
le;
bateau;
longeait;
quelque;
île;
bien;
touffue;
;
couverte;
de;
joncs;
et;
de;
saules;
:;
«;
Oh;
!;
une;
île;
déserte;
!;
»;
me;
disais;
-je;
dans;
moi;
-;
même;
;
et;
je;
la;
dévorais;
des;
yeux;
...;
Vers;
la;
fin;
du;
troisième;
jour;
;
je;
crus;
que;
nous;
allions;
avoir;
un;
grain;
.;
Le;
ciel;
s';
était;
assombri;
subitement;
;
un;
brouillard;
épais;
dansait;
sur;
le;
fleuve;
;
à;
l';
avant;
du;
navire;
on;
avait;
allumé;
une;
grosse;
lanterne;
;
et;
;
ma;
foi;
;
en;
présence;
de;
tous;
ces;
symptômes;
;
je;
commençais;
à;
être;
ému;
...;
À;
ce;
moment;
;
quelqu';
un;
dit;
près;
de;
moi;
:;
«;
Voilà;
Lyon;B-LOC
!;
»;
En;
même;
temps;
la;
grosse;
cloche;
se;
mit;
à;
sonner;
.;
C';
était;
Lyon;B-LOC
.;
Confusément;
;
dans;
le;
brouillard;
;
je;
vis;
des;
lumières;
briller;
sur;
l';
une;
et;
sur;
l';
autre;
rive;
;
nous;
passâmes;
sous;
un;
pont;
;
puis;
sous;
un;
autre;
.;
À;
chaque;
fois;
l';
énorme;
tuyau;
de;
la;
cheminée;
se;
courbait;
en;
deux;
et;
crachait;
des;
torrents;
d';
une;
fumée;
noire;
qui;
faisait;
tousser;
...;
Sur;
le;
bateau;
;
c';
était;
un;
remue;
-;
ménage;
effroyable;
.;
Les;
passagers;
cherchaient;
leurs;
malles;
;
les;
matelots;
juraient;
en;
roulant;
des;
tonneaux;
dans;
l';
ombre;
.;
Il;
pleuvait;
...;
Je;
me;
hâtai;
de;
rejoindre;
ma;
mère;
;
Jacques;B-PER
et;
la;B-PER
vieille;I-PER
Annou;I-PER
qui;
étaient;
à;
l';
autre;
bout;
du;
bateau;
;
et;
nous;
voilà;
tous;
les;
quatre;
;
serrés;
les;
uns;
contre;
les;
autres;
;
sous;
le;
grand;
parapluie;
d';
Annou;B-PER
;
tandis;
que;
le;
bateau;
se;
rangeait;
au;
long;
des;
quais;
et;
que;
le;
débarquement;
commençait;
;
En;
vérité;
;
si;
M.;B-PER
Eyssette;I-PER
n';
était;
pas;
venu;
nous;
tirer;
de;
là;
;
je;
crois;
que;
nous;
n';
en;
serions;
jamais;
sortis;
.;
Il;
arriva;
vers;
nous;
;
à;
tâtons;
;
en;
criant;
:;
«;
Qui;
vive;
!;
qui;
vive;
!;
»;
À;
ce;
«;
qui;
vive;
!;
»;
bien;
connu;
;
nous;
répondîmes;
:;
«;
amis;
!;
»;
tous;
les;
quatre;
à;
la;
fois;
avec;
un;
bonheur;
;
un;
soulagement;
inexprimable;
...;
M.;B-PER
Eyssette;I-PER
nous;
embrassa;
lestement;
;
prit;
mon;
frère;
d';
une;
main;
;
moi;
de;
l';
autre;
;
dit;
aux;
femmes;
:;
«;
Suivez;
-moi;
!;
»;
et;
en;
route;
...;
Ah;
!;
c';
était;
un;
homme;
.;
Nous;
avancions;
avec;
peine;
;
il;
faisait;
nuit;
;
le;
pont;
glissait;
.;
À;
chaque;
pas;
;
on;
se;
heurtait;
contre;
des;
caisses;
...;
Tout;
à;
coup;
;
du;
bout;
du;
navire;
;
une;
voix;
stridente;
;
éplorée;
;
arrive;
jusqu';
à;
nous;
:;
«;
Robinson;B-PER
!;
Robinson;
!;
»;
disait;
la;
voix;
.;
«;
Ah;
!;
mon;
Dieu;B-MISC
!;
»;
m';
écriai;
-je;
;
et;
j';
essayai;
de;
dégager;
ma;
main;
de;
celle;
de;
mon;
père;
;
lui;
;
croyant;
que;
j';
avais;
glissé;
;
me;
serra;
plus;
fort;
.;
La;
voix;
reprit;
;
plus;
stridente;
encore;
;
et;
plus;
éplorée;
:;
«;
Robinson;B-PER
!;
mon;
pauvre;
Robinson;B-PER
!;
»;
Je;
fis;
un;
nouvel;
effort;
pour;
dégager;
ma;
main;
.;
«;
Mon;
perroquet;
;
criai;
-je;
;
mon;
perroquet;
!;
--;
Il;
parle;
donc;
maintenant;
?;
»;
dit;
Jacques;B-PER
.;
S';
il;
parlait;
;
je;
crois;
bien;
;
on;
l';
entendait;
d';
une;
lieue;
.;
Dans;
mon;
trouble;
;
je;
l';
avais;
oublié;
là;
-;
bas;
;
tout;
au;
bout;
du;
navire;
;
près;
de;
l';
ancre;
;
et;
c';
est;
de;
là;
qu';
il;
m';
appelait;
;
en;
criant;
de;
toutes;
ses;
forces;
:;
«;
Robinson;B-PER
!;
Robinson;B-PER
!;
mon;
pauvre;
Robinson;B-PER
!;
»;
Malheureusement;
nous;
étions;
loin;
;
le;
capitaine;
criait;
:;
«;
Dépêchons;
-nous;
.;
»;
«;
Nous;
viendrons;
le;
chercher;
demain;
;
dit;
M.;B-PER
Eyssette;I-PER
;
sur;
les;
bateaux;
;
rien;
ne;
s';
égare;
.;
»;
Et;
là;
-;
dessus;
;
malgré;
mes;
larmes;
;
il;
m';
entraîna;
.;
Pécaire;
!;
le;
lendemain;
on;
l';
envoya;
chercher;
et;
on;
ne;
le;
trouva;
pas;
...;
Jugez;
de;
mon;
désespoir;
:;
plus;
de;
Vendredi;B-PER
!;
plus;
de;
perroquet;
!;
Robinson;B-PER
n';
était;
plus;
possible;
.;
Le;
moyen;
;
d';
ailleurs;
;
avec;
la;
meilleure;
volonté;
du;
monde;
;
de;
se;
forger;
une;
île;
déserte;
;
à;
un;
quatrième;
étage;
;
dans;
une;
maison;
sale;
et;
humide;
;
rue;B-LOC
Lanterne;I-LOC
?;
Oh;
!;
l';
horrible;
maison;
!;
Je;
la;
verrai;
toute;
ma;
vie;
:;
l';
escalier;
était;
gluant;
;
la;
cour;
ressemblait;
à;
un;
puits;
;
le;
concierge;
;
un;
cordonnier;
;
avait;
son;
échoppe;
contre;
la;
pompe;
...;
C';
était;
hideux;
.;
Le;
soir;
de;
notre;
arrivée;
;
la;B-PER
vieille;I-PER
Annou;I-PER
;
en;
s';
installant;
dans;
sa;
cuisine;
;
poussa;
un;
cri;
de;
détresse;
:;
«;
Les;
babarottes;
!;
les;
babarottes;
!;
»;
Nous;
accourûmes;
.;
Quel;
spectacle;
!;
...;
La;
cuisine;
était;
pleine;
de;
ces;
vilaines;
bêtes;
;
il;
y;
en;
avait;
sur;
la;
crédence;
;
au;
long;
des;
murs;
;
dans;
les;
tiroirs;
;
sur;
la;
cheminée;
;
dans;
le;
buffet;
;
partout;
.;
Sans;
le;
vouloir;
;
on;
en;
écrasait;
.;
Pouah;
!;
Annou;B-PER
en;
avait;
déjà;
tué;
beaucoup;
;
mais;
plus;
elle;
en;
tuait;
;
plus;
il;
en;
venait;
.;
Elles;
arrivaient;
par;
le;
trou;
de;
l';
évier;
;
on;
boucha;
le;
trou;
de;
l';
évier;
;
mais;
le;
lendemain;
soir;
elles;
revinrent;
par;
un;
autre;
endroit;
;
on;
ne;
sait;
d';
où;
.;
Il;
fallut;
avoir;
un;
chat;
exprès;
pour;
les;
tuer;
;
et;
toutes;
les;
nuits;
c';
était;
dans;
la;
cuisine;
une;
effroyable;
boucherie;
.;
Les;
babarottes;
me;
firent;
haïr;
Lyon;B-LOC
dés;
le;
premier;
soir;
.;
Le;
lendemain;
;
ce;
fut;
bien;
pis;
.;
Il;
fallait;
prendre;
des;
habitudes;
nouvelles;
;
les;
heures;
des;
repas;
étaient;
changées;
...;
Les;
pains;
n';
avaient;
pas;
la;
même;
forme;
que;
chez;
nous;
.;
On;
les;
appelait;
des;
«;
couronnes;
»;
.;
En;
voilà;
un;
nom;
!;
Chez;
les;
bouchers;
;
quand;
la;B-PER
vieille;I-PER
Annou;I-PER
demandait;
une;
carbonade;
;
l';
étalier;
lui;
riait;
au;
nez;
;
il;
ne;
savait;
pas;
ce;
que;
c';
était;
une;
«;
carbonade;
»;
;
ce;
sauvage;
!;
...;
Ah;
!;
je;
me;
suis;
bien;
ennuyé;
.;
Le;
dimanche;
;
pour;
nous;
égayer;
un;
peu;
;
nous;
allions;
nous;
promener;
en;
famille;
sur;
les;
quais;
du;B-LOC
Rhône;I-LOC
;
avec;
des;
parapluies;
.;
Instinctivement;
nous;
nous;
dirigions;
toujours;
vers;
le;B-LOC
Midi;I-LOC
;
du;
côté;
de;
Perrache;B-LOC
.;
«;
Il;
me;
semble;
que;
cela;
nous;
rapproche;
du;
pays;
»;
;
disait;
ma;
mère;
;
qui;
languissait;
encore;
plus;
que;
moi;
...;
Ces;
promenades;
de;
famille;
étaient;
lugubres;
.;
M.;B-PER
Eyssette;I-PER
grondait;
.;
Jacques;B-PER
pleurait;
tout;
le;
temps;
;
moi;
je;
me;
tenais;
toujours;
derrière;
;
je;
ne;
sais;
pas;
pourquoi;
;
j';
avais;
honte;
d';
être;
dans;
la;
rue;
;
sans;
douté;
parce;
que;
nous;
étions;
pauvres;
.;
Au;
bout;
d';
un;
mois;
;
la;B-PER
vieille;I-PER
Annou;I-PER
tomba;
malade;
.;
Les;
brouillards;
la;
tuaient;
;
on;
dut;
la;
renvoyer;
dans;
le;B-LOC
Midi;I-LOC
.;
Cette;
pauvre;
fille;
;
qui;
aimait;
ma;
mère;
à;
la;
passion;
;
ne;
pouvait;
pas;
se;
décider;
à;
nous;
quitter;
.;
Elle;
suppliait;
qu';
on;
la;
gardât;
;
promettant;
de;
ne;
pas;
mourir;
.;
Il;
fallut;
l';
embarquer;
de;
force;
.;
Arrivée;
dans;
le;B-LOC
Midi;I-LOC
;
elle;
s';
y;
maria;
de;
désespoir;
?;
.;
Annou;B-PER
partie;
;
on;
ne;
prit;
pas;
de;
nouvelle;
bonne;
;
ce;
qui;
me;
parut;
le;
comble;
